index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
168,1.2459570051127837,-0.08489775155212687,1.6241767694005844,0.02276215752433209,0.9548728221146114,0.024473763021819625,0.29512846812069293,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.6241767694005844,,,0.7422303958324803
176,1.1478473017927338,-0.07122067810012193,1.5578092223459274,0.022641594659236406,0.9688947384828388,0.028162264666079583,0.244820813617707,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5578092223459274,,,0.8129333940640022
184,1.0387981744985126,-0.05543029205005547,1.5015183227715179,0.021621332027683238,0.9797434791735827,0.0318818456405257,0.19651661745701257,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5015183227715179,,,0.858472807961439
192,0.9233580459572917,-0.038229386279935086,1.4530131949257212,0.02034512553394414,0.9881190189371,0.035364223582763796,0.14817642178221033,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4530131949257212,,,0.9124335529943433
200,0.8053152628329424,-0.02037325296799434,1.4107978509214223,0.018770623564623626,0.9942406990542604,0.03883765260403115,0.0981057224391084,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4107978509214223,,,0.985650650892794
208,0.6903953007312034,-0.0037623964941232426,1.377211336468686,0.016882490259038294,0.9980834972943313,0.04307355452422271,0.04109723654966125,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.377211336468686,,,0.964422548719585
216,0.5798330036155209,0.00940865149482399,1.391458583050694,0.014913679397724672,0.9984796397439278,0.04980427594042311,-0.018317349199818565,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.391458583050694,,,0.9904830178956088
224,0.4736338632596929,0.021223254183434872,1.4185211097996522,0.012288180376790813,0.995394827557507,0.056487343927380085,-0.07646775706674314,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4185211097996522,,,1.0015193679816674
232,0.3738675339139077,0.03143751270368431,1.4567631091210802,0.009036377092758913,0.9890864153142154,0.06314642587030465,-0.13281165547390442,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4567631091210802,,,0.9725143451208669
240,0.2821264873920888,0.03989473699169469,1.5043368172821832,0.005197298323454104,0.9799012208276175,0.06979981766792136,-0.18680088587639734,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5043368172821832,,,0.8737329534709959
248,0.1995241130918961,0.046521191324408157,1.5591673903792282,0.0008185890719050278,0.9682580186461524,0.07646530049862377,-0.2379680589050005,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5591673903792282,,,0.8209371940244152
256,0.12527476278193866,0.05145346586527707,1.619434522045804,-0.004110935151226926,0.955094801105088,0.08312295428070533,-0.28437228343469473,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.619434522045804,,,0.8031034610955801
264,0.056725353348946427,0.05568481390875923,1.6823549450886264,-0.009824825907368988,0.9419128903249762,0.08949371717543246,-0.3235652243700843,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.6823549450886264,,,0.7271364832917346
272,-0.00995689493261224,0.059678530170380675,1.7367530582534219,-0.015942951667854418,0.9274968880201476,0.09580970929370827,-0.3609928595001752,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.7367530582534219,,,0.6338389872176822
280,-0.07545119089902379,0.06297637854987378,1.7870041347651426,-0.02228445947409642,0.9138008142057717,0.10214716115801128,-0.3924760276630603,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.7870041347651426,,,0.5572975258126323
288,-0.13986952746459214,0.06566311744400515,1.8315134513391538,-0.028771758463009896,0.9008977935245673,0.10855110686652286,-0.4192517247854383,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.8315134513391538,,,0.5677918707979055
296,-0.19999443205276915,0.07756508886083692,1.8619876433342137,-0.024790508601420673,0.8921059999332247,0.11006175607600747,-0.4375142573858475,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.8619876433342137,,,inf
304,-0.25817130171363406,0.0938685741641841,1.8823855419853237,-0.01609047392378951,0.8860637279866536,0.10941354033798084,-0.4501786798439153,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.8823855419853237,,,0.47898906606288594
312,-0.3042827717490081,0.10233154293398443,1.890719229976596,-0.021717431877688608,0.8826026186700916,0.1134973004248114,-0.4556965365960279,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.890719229976596,,,0.4884753503037278
320,-0.34154333864046743,0.104555878079521,1.8886405995494424,-0.03742460846252682,0.8814376385927887,0.12089275629436633,-0.4550297016997306,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.8886405995494424,,,0.5168427894583616
328,-0.36160124617901285,0.10878341254843878,1.8838076726529027,-0.04932404637706079,0.8809481571365063,0.12772566423323406,-0.4529720052971995,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.8838076726529027,,,inf
336,-0.3589997570871904,0.11359613146267518,1.8790585467102978,-0.05717900056039856,0.8813987478454984,0.1342348540104432,-0.44927476354687057,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.8790585467102978,,,0.5153122481845098
344,-0.35220128662226424,0.11736714149176124,1.8677897963894572,-0.06481488229812238,0.8827945347737145,0.14076899675060717,-0.443460178550644,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.8677897963894572,,,0.48956667428008327
352,-0.34359785068007337,0.12377671048480766,1.8531831912043641,-0.07178738884877905,0.8857282033349718,0.14807063162457973,-0.4340589921538027,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.8531831912043641,,,0.6255104658970116
360,-0.3324920152295976,0.13181918972645987,1.8347791155087023,-0.07817175655619957,0.8899680918229519,0.155778857828003,-0.42140113842719373,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.8347791155087023,,,inf
368,-0.31802220622957045,0.1414365715588289,1.8123588064449077,-0.08422865619087053,0.8951332293149888,0.16355080067445613,-0.40607040134826855,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.8123588064449077,,,0.5758368686901132
376,-0.29943167204406723,0.15107138602258077,1.7853434164081572,-0.09023513283518853,0.9012675612368842,0.17063141550226116,-0.3878908659765396,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.7853434164081572,,,0.6317104012911352
384,-0.27637811861276895,0.16066817307928255,1.754201284839261,-0.09636616258089459,0.9082375232265507,0.17678344697983928,-0.3668320828208185,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.754201284839261,,,0.6655288977453917
392,-0.24844408419675854,0.17035398064160184,1.719592163867998,-0.10281430088166268,0.9158007760784933,0.1818583995195116,-0.34302431487060214,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.719592163867998,,,0.6553008258490525
400,-0.21527996829679766,0.17996050235145608,1.682312088775719,-0.10976892410148954,0.9237020818216264,0.1858871733277947,-0.31649835091544687,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.682312088775719,,,0.6914360189223279
408,-0.1766298512653378,0.1890864254480108,1.6432388772628763,-0.11723099337238431,0.9316952046938355,0.18890581512056825,-0.2872551701137333,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.6432388772628763,,,0.7440503704479062
416,-0.1322740729551784,0.19752875283289648,1.603324258958777,-0.1252817662274408,0.9394868140989808,0.19083517514730752,-0.2554426376147417,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.603324258958777,,,0.7731340703889049
