index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
160,-0.13526838216725237,0.18233445815755978,1.0123892810080448,-0.0039871591659076545,0.6376697193115425,-0.14668246116698253,0.7562047918526574,0.4130473612039586,0.025798885179895436,0.23471352083712935,0.19439387226346658,0.06502389447415724,0.0659062768474203,0.06579827723665493,-0.005095293389729999,0.05063810384053245,-0.060424571562134044,0.001965895639966374,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.5851793707788981,1.4435296457045788,0.14164972507431944,6.1853168005450865
165,-0.13932914773997243,0.16941860371038708,1.0175384317773188,-0.014766848963439171,0.6343237027320313,-0.16070067502567045,0.7560361587717286,0.40896463211463485,0.03103547830031065,0.24286743169692668,0.20659276818518846,0.06964427638837162,0.0688938799817306,0.07491515530469095,-0.005147425682569559,0.05888120250805941,-0.05971153730057804,0.001918590624690945,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.4461736441965614,1.3000976214049977,0.14607602279156354,6.300770824168502
170,-0.14494234273477985,0.15456994995730866,1.0275307423430122,-0.0274823322061706,0.6300298829406078,-0.17798975445920273,0.7553983818660895,0.4143820295979273,0.028355938002588732,0.24984048019900015,0.22032010442766373,0.07486188797707224,0.0724051320239842,0.0859424298656394,-0.005200407392179476,0.06897568102459894,-0.05908873365322485,0.0021864689726975735,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.4037362664062596,1.2487404693052284,0.15499579710103129,6.053163407444396
175,-0.15057640308163311,0.13848354984339062,1.037890901406177,-0.03879708496178337,0.6250114601974701,-0.19392108955982468,0.7551490394910298,0.4202682505738464,0.024743536606525986,0.25492031742893534,0.23098285192108436,0.07922964720111329,0.07512339380076878,0.0960133213640623,-0.005236526776728133,0.07830377582032443,-0.05748423498011304,0.0021449590902364365,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.4353962234215207,1.2723049979334535,0.16309122548806712,6.148937579370507
180,-0.15223826865450849,0.1213425216141634,1.0461887480111904,-0.05157888328808182,0.6231397454294215,-0.20417693632205966,0.7532252353307394,0.4241551338398601,0.02242227490136977,0.2582991291309805,0.2380785669310399,0.08268114771402338,0.07668610274732254,0.10528507104212752,-0.005240979442436537,0.08699790827079612,-0.05299675805211005,0.0014162300902101277,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.4625376620669164,1.2935282506553354,0.16900941141158093,6.056740847733278
185,-0.1455287637289076,0.10199630089212275,1.056751622744355,-0.07006287851347794,0.6278977130933913,-0.2055658422485961,0.7473809868113587,0.4250053802605991,0.022523613225893285,0.2589493670363816,0.2404783742102802,0.08666052487958381,0.07798115052321847,0.11564019150698966,-0.0052241600571353835,0.096816429545522,-0.047659714107944326,0.0008331910727586779,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.5149567967764772,1.3426277341314115,0.17232906264506584,6.0591556273825615
190,-0.13768085649518905,0.0829870026582766,1.0659755893088791,-0.08760451167408648,0.6326052948487065,-0.20532113470489613,0.7416058401248063,0.4250246302390012,0.022802030234284582,0.2588970535682314,0.24252127607290141,0.0907027464043141,0.0790864912665404,0.1264796115062244,-0.005240699790583615,0.10719103445082313,-0.04166585082992036,-0.00019094534826504558,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.6148753651679573,1.4395041959648132,0.1753711692031441,6.21127595146919
195,-0.12991981036693617,0.06693927606925405,1.0793560964397733,-0.10640127375616704,0.6375547748929569,-0.20584394546887513,0.7347318885607614,0.42622086280724464,0.022954316627361863,0.25977503364431576,0.2452628410041043,0.09467572303993295,0.0802586843176175,0.1378020316466638,-0.005238275872993497,0.11801927611892567,-0.03521211211630746,-0.0011020375660729734,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.7915471834737495,1.6118374339287427,0.17970974954500682,5.721802710193376
200,-0.12293864564514133,0.05294976939598996,1.0811704164516829,-0.11963518545972437,0.6413616180992381,-0.20397073041880737,0.729889469962105,0.42760628828788744,0.022998866627632723,0.2607153259849082,0.24709808259563754,0.0964669685735028,0.08063718271585542,0.14343249649664636,-0.005218731266017673,0.12345563981889027,-0.031680559087279944,-0.00139166312954107,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.8883677746451633,1.7058371414960651,0.1825306331490981,5.941945181460833
205,-0.1142543777366176,0.03819214163825942,1.085025590379976,-0.13454734848882033,0.6459246114825709,-0.2010663793600135,0.724051599257106,0.4271071420269795,0.023238109917902,0.2604077743471,0.24832678334737612,0.09940896921158054,0.08148191905938955,0.151262326160735,-0.005196746294145313,0.13096004367367778,-0.027217606338425075,-0.001426469683845744,-0.5,0.5,0,0.0,0.0,0.0,1.0,2.03054128380914,1.8456607685483644,0.18488051526077598,5.290200474292947
210,-0.10354890484197146,0.02304955140416378,1.090482611526471,-0.15177744748034108,0.6510622299923192,-0.19774087550568142,0.7169240721778195,0.4271023105486194,0.023444138256477016,0.2604713213477095,0.24982221017296768,0.10259968677085912,0.08236759006979348,0.15966002950954067,-0.005164628284393058,0.1390345908939942,-0.022366962524434077,-0.001170092021610642,-0.5,0.5,0,0.0,0.0,0.0,1.0,2.2218709675710064,2.0339290481432353,0.18794191942777122,5.440252519702464
215,-0.09039505563254689,0.007688452040475545,1.094704556573711,-0.17053698448856933,0.657008616692976,-0.19281693044371057,0.7085749401771085,0.42741899395546307,0.023576939652532696,0.2607660705232429,0.25134551296358093,0.10533775284019654,0.08343387745432648,0.16636800414638656,-0.005160733201142649,0.14541873101227284,-0.019001548556110952,-0.0015230220098477057,-0.5,0.5,0,0.0,0.0,0.0,1.0,2.444886706783026,2.2540424244208053,0.19084428236222084,5.0018187745694425
220,-0.07408697541632726,-0.00796039855046874,1.096950016051441,-0.19114994776197422,0.6642948119497069,-0.18544710214427385,0.6984149716276058,0.4276574050075478,0.0236618418149481,0.2609875222201474,0.25242372982221134,0.1071992043604205,0.08425754937189645,0.17074348160615874,-0.005163372791506739,0.14956027184121562,-0.016957438655076356,-0.001897269609465321,-0.5,0.5,0,0.0,0.0,0.0,1.0,2.7137085255890216,2.520851827994019,0.1928566975950028,4.709185245429494
225,-0.0552498146245125,-0.0234001499654241,1.0977002604765262,-0.2137154487981825,0.6724771552160721,-0.17657641359777396,0.6862368052053448,0.4277729445374799,0.023736835943723104,0.2611147064017457,0.25325443103040657,0.10868688142722996,0.0849240321614006,0.17422833499842294,-0.005165762259271673,0.15285988486918234,-0.015335014089206045,-0.002193933950481189,-0.5,0.5,0,0.0,0.0,0.0,1.0,3.036807059844762,2.842364522920175,0.19444253692458707,4.524214467888427
230,-0.04134850648408615,-0.03986779334436787,1.116836900602034,-0.23656292120084277,0.6735015388125872,-0.17917254297665328,0.677001374720377,0.4269836313472294,0.024049023943169445,0.26069099438023186,0.25506587210556825,0.11275075309017972,0.08678964503485528,0.18373982247935777,-0.005178317171294408,0.16186921916728378,-0.01101187637199512,-0.0029872923592837264,-0.5,0.5,0,0.0,0.0,0.0,1.0,3.32394685157836,3.1258088954549286,0.19813795612343166,4.112779647119788
235,-0.030629247172471147,-0.05654854858655972,1.1351450338745184,-0.2560658822293736,0.6716919690493308,-0.1847950646576545,0.6701574044587574,0.4273639321185831,0.0241556979837067,0.26104696144075734,0.2564928355654374,0.11516181540276677,0.08788403262551507,0.18936463695657182,-0.005180550540582628,0.1672102046970426,-0.008311070627146278,-0.0034729040531990365,-0.5,0.5,0,0.0,0.0,0.0,1.0,3.5129828672437586,3.3119480886146944,0.20103477862906405,3.850367266799041
240,-0.022254818800514,-0.07305449327511286,1.1517098423864573,-0.2729565200771934,0.6682435398673757,-0.1919951052928481,0.6648933667261661,0.42745704265640744,0.02423977328946423,0.26117202995319744,0.2573522432822413,0.11671743725968381,0.0885971869252521,0.1929927294104001,-0.005182555882091158,0.17065830168384932,-0.006574047846496866,-0.003784353881791208,-0.5,0.5,0,0.0,0.0,0.0,1.0,3.6418165631209662,3.4389788802043406,0.20283768291662585,3.932846543147593
