index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos
552,0.07580872715504647,0.2976371546176768,0.9652385997423908,0.19701346329754776,0.12754223851579088,-0.2319463189736707,0.9439913017546566,-0.49901599007798614,1.133419336984507,0.5001466684521754,0.6095929035911705,0.08182362489642753,0.5001344858737592,-0.1559571282489019,0.5000159178683223,0.0458585839764109,0.46370978299596183
560,0.07571569532291118,0.2976745248485069,0.9651516926945821,0.19683686609788986,0.12764266678648203,-0.23180456228172874,0.9440493857133602,-0.498974328079989,1.1333793484496448,0.5001467054444254,0.6100314441129867,0.08166688915888705,0.5001344778835493,-0.1559533193454115,0.5000159201734586,0.045845807798900455,0.46374039950415746
568,0.07562261190075517,0.29771184393735367,0.9650647744374916,0.19666020684847374,0.1277431401674363,-0.2316627536178194,0.9441074206723977,-0.49893268362922594,1.1333393409594825,0.5001467425439999,0.610470099120791,0.08151010009663195,0.500134469908382,-0.1559495065711596,0.5000159224734487,0.04583303443565523,0.46377102560276834
576,0.07552947699780944,0.2977491117761412,0.9649778451328923,0.19648348577594416,0.12784365859616154,-0.23152089313649288,0.9441654064915549,-0.49889105678201834,1.13329931459081,0.5001467795876856,0.6109088681178819,0.08135325799082328,0.5001344618128958,-0.15594568994258406,0.50001592474821,0.04582026390142153,0.4638016612250496
584,0.07543629088829021,0.2977863281922646,0.9648909050979423,0.19630670341596207,0.12794422183945497,-0.2313789812419658,0.9442233429286123,-0.4988494476641468,1.1332592694916637,0.5001468164217063,0.6113477498537767,0.0811963634183158,0.5001344534468862,-0.15594186948339495,0.5000159269804274,0.04580749623288307,0.4638323062495565
592,0.07534305353285801,0.2978234931596757,0.964803954310197,0.19612985965915655,0.12804482992363808,-0.23123701788352544,0.9442812299523062,-0.4988078563094196,1.1332192056377415,0.5001468532457665,0.6117867443246457,0.08103941640964878,0.5001344449655964,-0.1559380451726258,0.5000159291943367,0.045794731450960795,0.4638629606912662
600,0.07524976488286408,0.29786060664908265,0.9647169927527669,0.1959529543967817,0.12814548290265526,-0.23109500299066674,0.9443390675321878,-0.49876628273796075,1.1331791230113495,0.5001468901368359,0.612225851624784,0.08088241697263741,0.5001344364449829,-0.15593421699832444,0.5000159313986301,0.04578196956741473,0.46389362455853617
608,0.07515642489460082,0.2978976686257743,0.9646300204208829,0.19577598753795344,0.1282461808359026,-0.2309529364971886,0.9443968556321383,-0.49872472696308956,1.133139021603397,0.5001469271205289,0.6126650718548281,0.0807253651238755,0.5001344279165996,-0.15593038495313635,0.5000159335961156,0.045769210590995923,0.46392429785285966
616,0.07506303352632103,0.2979346790528636,0.9645430373145552,0.19559895899862065,0.1283469237853685,-0.23081081833852132,0.9444545942137138,-0.4986831889942546,1.1330989014085169,0.5001469642056865,0.6131044051179889,0.08056826088439968,0.500134419393507,-0.1559265490314029,0.5000159357877606,0.04575645452938522,0.4639549805729286
624,0.07496959073700987,0.29797163789256204,0.9644560434356774,0.19542186869729025,0.12844771181425033,-0.2306686484506556,0.9445122832374866,-0.49864166883897304,1.1330587624229203,0.5001470013955157,0.6135438515186736,0.08041110427729874,0.5001344108811212,-0.15592270922810114,0.5000159379739183,0.045743701389875595,0.4639856727162945
