index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,box_pos_x,box_pos_y,box_pos_z,box_eul_x,box_eul_y,box_eul_z
259,0.0004973150706837106,1.495760601199198,3.070561399587672,0.11569317620937052,0.010502794310779726,0.0013538620280167347,0.9932285473886975,0.0004719131835950767,0.00305241465351375,-0.0005357095137430866,0.0036548025842259263,-0.0002819406092315914,-0.05304521627981854,-0.0012093012383186485,0.020950536483265315,0.0010555751508174015,-0.015414925608302585,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.20799999999999919,0,0
266,0.0004976734140548243,1.4956083318361535,3.070588964461604,0.11847111070464286,0.01049833001545563,0.0013836447570564452,0.9929010356135606,0.00047126103199645545,0.003053867513827638,-0.0005299647323756999,0.0036526280477026233,-0.00027058199620929864,-0.053045552806044206,-0.0012118354659440282,0.020948991872964222,0.0010509489922075385,-0.01540978667780766,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.21359999999999915,0,0
273,0.0004983475249616431,1.4954555047131424,3.0706170114729203,0.1212481904252933,0.010493777070392356,0.0014136460755624196,0.9925657452109466,0.00047080738689787675,0.0030554832406955025,-0.0005241814088998576,0.003650438516045573,-0.0002588990896271986,-0.05304585637348477,-0.0012146175849634731,0.020947657638478154,0.0010462616389126332,-0.015404508401791209,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.21919999999999912,0,0
280,0.000499394455945688,1.4953021945099192,3.0706449089600154,0.12402474397169333,0.01048921718652033,0.001444021454323971,0.9922226332873129,0.00047011636968739015,0.0030575207898820194,-0.0005186476453084584,0.0036489808355929425,-0.00024744462059816984,-0.053045851491958486,-0.0012178712314152335,0.02094831819757686,0.0010410823050807437,-0.01539755956268584,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.22479999999999908,0,0
287,0.0005009372600451203,1.4951486036275945,3.070672586975132,0.12680122451841516,0.010484782630785961,0.0014752436206808932,0.9918716360749888,0.0004675974887846013,0.003058609729181894,-0.0005149523864475096,0.00364847524750744,-0.00023886012156122444,-0.05304601628407339,-0.001222235559710035,0.020952421296382192,0.001035013058161435,-0.015387905931036294,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.23039999999999905,0,0
294,0.0005034829143080969,1.4949938709449828,3.0707002299112096,0.12957637920111822,0.01047990238392409,0.0015064724683084847,0.9915129167791278,0.0004694120028844931,0.0030623957258202714,-0.0005073537975603585,0.0036476339955710275,-0.00023304358805653646,-0.05304477047239322,-0.001223622937709835,0.020955695009156963,0.001032765719863705,-0.015378160312758309,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.23599999999999902,0,0
301,0.0005064494180360783,1.494838551919352,3.0707280893531728,0.1323507262051901,0.01047493694512816,0.001538040894970028,0.9911464046240392,0.00047133225325636454,0.0030666446847751956,-0.000499635860828672,0.0036470151844818118,-0.00022716959197221806,-0.053043277576999594,-0.001225027535939415,0.020959842742828787,0.0010303837558749624,-0.01536769803925047,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.24159999999999898,0,0
308,0.0005097917901976531,1.4946826510210682,3.0707562670480955,0.1351241784544612,0.010469875888763386,0.0015699107622437756,0.9907721097588887,0.00047333538720725207,0.0030712015260534065,-0.0004918335456642079,0.0036465124099984976,-0.00022120688611066132,-0.05304163172209183,-0.0012264788171521069,0.020964556807605075,0.0010278983858879494,-0.015356790283002712,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.24719999999999895,0,0
315,0.0005134979397305826,1.4945261661785372,3.0707848168549403,0.13789666792039146,0.010464709952843276,0.0016020717333774383,0.9903900404326658,0.0004754100564617305,0.003075962659567132,-0.00048396376345956056,0.0036460726463921644,-0.0002151190667528253,-0.053039890653892,-0.0012280015520753495,0.020969642003042643,0.0010253270697566823,-0.015345611642259425,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.252799999999999,0,0
322,0.0005175564381622033,1.4943690944613848,3.070813766903878,0.1406681403095462,0.010459430485399402,0.0016345116967442733,0.9900002035289125,0.0004775581393873993,0.003080859977032965,-0.0004760562117527079,0.003645664000068578,-0.0002089078672941374,-0.05303808503782511,-0.001229588100914355,0.02097496759052574,0.0010227042106352095,-0.015334271589225859,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.2583999999999992,0,0
329,0.0005219530881408036,1.4942114208977286,3.0708431298357475,0.14343853727836198,0.010454019472780098,0.0016671696965295316,0.9896026071335451,0.00048002036401876386,0.0030858965289074884,-0.00046848324692287826,0.0036452425334391166,-0.00020250042019256763,-0.05303617686586492,-0.0012311184639617583,0.020980382021805986,0.0010202146178250706,-0.015322852010917825,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.26399999999999935,0,0
336,0.0005266225519721486,1.4940531558555556,3.0708729128150334,0.14620782201610813,0.010448472880155069,0.0016999678958147949,0.9891972565191091,0.00048283619145062987,0.0030910590062935965,-0.0004610785625538659,0.003644774652492033,-0.0001958795777148507,-0.05303415536077901,-0.0012324210466530653,0.02098582021072587,0.0010180973089946213,-0.015311379957053093,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.2695999999999995,0,0
343,0.0005314591042438647,1.4938943233611661,3.0709031233133426,0.1489759687677891,0.010442800508503042,0.0017328578556772042,0.9887841553397234,0.00048577677416020837,0.003096309741180171,-0.0004537644340006242,0.0036442788434930705,-0.00018908189197800818,-0.05303205555148336,-0.001233507682014636,0.02099127319539032,0.0010162741229520578,-0.015299875966622991,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.27519999999999967,0,0
350,0.0005364201235029571,1.4937349233103054,3.0709337613539973,0.15174295191604684,0.010437007354306737,0.001765815169794973,0.9883633073511362,0.0004887913184045414,0.0031016226125409937,-0.00044653523030382616,0.0036437671437859736,-0.00018212536376950608,-0.05302989844020286,-0.001234430414621227,0.020996729904913802,0.001014661968468171,-0.015288357204890584,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.2807999999999998,0,0
357,0.0005414831173505133,1.4935749507405127,3.0709648244513685,0.1545087470790352,0.01043109567787602,0.0017988245708842078,0.9879347162384714,0.0004918632173258244,0.0031069813403544902,-0.0004393796365506156,0.003643243469179837,-0.00017503465503111314,-0.05302769587785826,-0.0012352173306338242,0.021002181848854058,0.0010132240569682292,-0.015276833802098938,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.2864,0,0
364,0.0005466309806159929,1.4934143994528055,3.0709963089951153,0.15727333101925897,0.010425067141307602,0.0018318743468334286,0.987498385599482,0.000494980163872313,0.003112374426732629,-0.0004322880595313691,0.003642709974794117,-0.00016783549206387304,-0.05302545641644592,-0.001235887238076204,0.021007624163830195,0.0010119341386176078,-0.015265311733812622,0,0,1,-0.14943813247359924,0.0,0.0,0.9887710779360424,0,1.5,3.0,0.29200000000000015,0,0
