index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
123,-0.11279161228153521,0.23969454119393088,1.0176066350600255,0.1898195569410559,0.6183284505749397,0.08629446385910125,0.7577543985484781,0.1791772400099788,-0.002751924596618611,0.07287257978174044,0.04496964702776862,0.0067266236252255685,0.027226736043355713,-0.038705478646025915,-0.00448645186534885,-0.04567422477790757,-0.06617357714037665,0.004386859465252667,-0.5,0.5,0,0.0,0.0,0.0,1.0,18.40764997911009,18.166480753762393,0.24116922534769697,8.799895034525754
126,-0.11873452576553424,0.23690233436064345,1.011413241378285,0.1588445372241855,0.6251348677228876,0.04387068442930395,0.7629221278733673,0.24679566114573795,-0.004007252162712992,0.1000000365477585,0.06229883441047945,0.014011062500755109,0.03202816817408214,-0.026625231187801496,-0.004659754305729064,-0.03381918137253325,-0.06838485143062999,0.005129133134855391,-0.5,0.5,0,0.0,0.0,0.0,1.0,18.371445545185214,17.958422689563672,0.4130228556215428,9.803702437179663
129,-0.12254980891345246,0.23491115492531542,1.0058056704095877,0.13215509016346638,0.6295627597195488,0.007928903894276588,0.7655866353334722,0.3036077178864626,-0.00498072752734573,0.12287813199815577,0.0769816722121008,0.020284245637926822,0.036021847977349086,-0.01585432740862277,-0.004842622300887693,-0.023166411945592394,-0.07008519371371998,0.005730658623586365,-0.5,0.5,0,0.0,0.0,0.0,1.0,18.372368215029226,17.76890341754638,0.6034647974828478,9.062078678396613
132,-0.12432335867431268,0.23323014512136903,1.000023267196491,0.10859342838687915,0.6340087459624109,-0.0208648734129474,0.7653790135689745,0.35009532285085504,-0.005779744468468873,0.14212903167762134,0.08929940863491738,0.025551833367011823,0.03910582284683955,-0.006504023373666701,-0.00484308237784491,-0.014739611578817523,-0.06722628375775722,0.005151372883709937,-0.5,0.5,0,0.0,0.0,0.0,1.0,18.376502751666802,17.587571392105815,0.7889313595609858,9.25070177729205
135,-0.1244863391120703,0.23159328433268314,0.9938592003921372,0.0866094015226334,0.639318047144453,-0.04386104231073775,0.7627892599733624,0.38941707587545304,-0.0065503204028629506,0.15862297122676455,0.09981277018630741,0.03012416946505912,0.04171697299897786,0.0018483811874815625,-0.004843007921867664,-0.0071806893666824904,-0.06453538402244773,0.004613424014162973,-0.5,0.5,0,0.0,0.0,0.0,1.0,18.37702565893228,17.408402127899365,0.9686235310329134,8.499167640012281
138,-0.12464923345251458,0.23003068170576702,0.9880810211378417,0.0657880052804258,0.6427938052262221,-0.06630915882747453,0.7603230614545431,0.4267557588860567,-0.0070063264054454925,0.17468817608335288,0.11026337053360202,0.03447456066813597,0.04470679993103827,0.0087585762820108,-0.004852827854638919,-0.0010279288024196153,-0.06453563937911758,0.004438056992215916,-0.5,0.5,0,0.0,0.0,0.0,1.0,18.39802717617601,17.2364442075538,1.1615829686222134,8.466001483594297
141,-0.12637243608967502,0.22496304122629254,0.9901246598052206,0.0501639177585791,0.6429833012035316,-0.08533986375561531,0.7594558337274736,0.43487258783731575,-0.0014373302808099956,0.19012710331580412,0.12768565658279202,0.040215749898513786,0.049359613247161815,0.017168013019252266,-0.004884042179984558,0.006317379408541296,-0.06621208187130267,0.004325537830231827,-0.5,0.5,0,0.0,0.0,0.0,1.0,18.356188263797684,17.104272725159703,1.251915538637979,9.15187049825359
144,-0.12791702413839628,0.21842932173463497,0.9946852032624154,0.038999096129095974,0.6427368431311592,-0.09821348214798122,0.7587638189234337,0.42989443947234784,0.004629015777882967,0.2003755192590484,0.14294526888336254,0.045716613379126546,0.053214221244082385,0.02753772861729324,-0.004927171337443434,0.01586844138587365,-0.06561942876447983,0.003822727867898182,-0.5,0.5,0,0.0,0.0,0.0,1.0,18.278128326585932,16.999673070591978,1.2784552559939528,8.720571368406397
147,-0.12910103515635965,0.21205153475435268,0.998566903633308,0.029333562715539767,0.6423181437658231,-0.10896088187668948,0.7580860574554151,0.4259216676423253,0.009555144751359611,0.2085750580617234,0.1552381737148031,0.05032508102316087,0.05625252393538724,0.036710993876674175,-0.004964353707262417,0.024326972454820767,-0.06437224216603138,0.0032735056732539555,-0.5,0.5,0,0.0,0.0,0.0,1.0,18.20926568284873,16.904672591448115,1.3045930914006156,9.989121357243203
150,-0.13019888227536303,0.20560858767866333,1.0020290175416118,0.020643771050910874,0.6417045330542883,-0.11846248468575543,0.7574666769544735,0.42247817360696605,0.01386292111756544,0.21563938193335266,0.16583115627723313,0.05430554203190677,0.058866018994904616,0.044641626726750164,-0.004996824060423936,0.0315686501615896,-0.06317797132446366,0.0027994820500715782,-0.5,0.5,0,0.0,0.0,0.0,1.0,18.14598188819696,16.815440292208613,1.3305415959883464,9.743555552201965
