index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,start_energy,escape_energy_cost
328,-0.13564935262687808,0.02864629190790361,2.1062253738171974,0.2140420266875087,0.5553159616118263,0.799496325769879,0.08133768297105723,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-1.701388126529639e-07,-0.15464032241597267,1.0375253704158954e-05,6.821399211678947e-05,1.911814996837943e-05,-0.1546381227806924,4.30084607879687e-05,-7.360865493658194e-07,6.276859912574937e-06,-0.1505362293254248,-6.160250313956809e-07,-5.202959721173464e-09,2.1062253738171974,0.20708391031377538
336,-0.13222899141062586,0.031842516134908364,2.10708149195159,0.21440150015946863,0.5587605769606648,0.7973004082705293,0.07829861643478604,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-1.7028185792191454e-06,-0.14744016834230375,1.1771738820039293e-05,6.727239542384868e-05,2.112476983222044e-05,-0.14743874211416858,4.664638129436179e-05,-7.315295548606369e-07,9.30065702476418e-06,-0.1432836897357135,-6.085182151921642e-07,-4.902151923907362e-09,2.10708149195159,0.236200066849781
344,-0.1288064561891381,0.03488570252586725,2.1079375918838035,0.2148542825629819,0.5620243158139138,0.7951694520190018,0.07531167422152264,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-3.228721156947986e-06,-0.14024002463061644,1.3169614881312691e-05,6.632407548223842e-05,2.311457277609836e-05,-0.14023934661547974,5.0291085215419976e-05,-7.389259968064497e-07,1.2322221724432639e-05,-0.1360311344889619,-6.102228923000948e-07,-4.7998995381068875e-09,2.1079375918838035,0.21507981448983093
352,-0.12537298065680771,0.03779002847571292,2.108777103658699,0.21539684558580136,0.5651239480462089,0.7930963872948793,0.07236879656428633,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-4.7647209561551964e-06,-0.13303988843882697,1.4582304573715177e-05,6.535948881668375e-05,2.5110552574038733e-05,-0.13303994252791299,5.398021942745037e-05,-7.544572574784349e-07,1.5372257951264953e-05,-0.12877803617854255,-6.182965593382741e-07,-4.774073963157348e-09,2.108777103658699,0.08161532921480052
360,-0.12206689817952263,0.04048660887025815,2.1095489346881013,0.21585946081777074,0.5680397541623657,0.7911452513878,0.0694602193572345,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-6.102188858886305e-06,-0.12583840403979346,1.5043347250930501e-05,6.571025761572285e-05,2.755952865745493e-05,-0.12584060368877098,5.913939300284229e-05,-9.829088493957795e-07,1.9608031721573633e-05,-0.12149856931410741,-8.954537950129418e-07,-1.0527193491558668e-08,2.1095489346881013,0.22691038929982765
368,-0.1189108970758349,0.043010339138518365,2.110274648615611,0.21624980332058952,0.570828013607002,0.7892789157920226,0.06655970651572847,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-7.5159531484955215e-06,-0.11863821822161695,1.6503072659449652e-05,6.469916262783081e-05,2.9503889442278372e-05,-0.11864121951205804,6.283494827698794e-05,-7.970093573275284e-07,2.2764020363854494e-05,-0.1142443797591133,-6.891857560669167e-07,-6.34935538428204e-09,2.110274648615611,0.16440737153936302
376,-0.11566611847553034,0.045511865067207655,2.1109918991236643,0.21675518807400812,0.5735491733904093,0.7874037112006277,0.06367047772443554,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-8.971080134126944e-06,-0.11143804551948076,1.8088304809546405e-05,6.363468689827702e-05,3.1502716016638806e-05,-0.11144184520388692,6.666374390312555e-05,-8.021069828548877e-07,2.598292124803286e-05,-0.10698868139674039,-6.716659286218747e-07,-5.743860156791052e-09,2.1109918991236643,0.06173285933049932
384,-0.11236558613968435,0.04798439539091211,2.1116910441052803,0.2173340105554976,0.5762084130663475,0.7855283873522082,0.06078606115931062,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-1.050924914139847e-05,-0.104237879829313,1.984350317758542e-05,6.24851181010805e-05,3.3616689828986005e-05,-0.10424249165489805,7.072149193975039e-05,-8.463860039042669e-07,2.9375416608085746e-05,-0.09972990476261064,-6.975882878780705e-07,-5.805886040385748e-09,2.1116910441052803,0.22456761690448568
392,-0.10903047100892764,0.05042928598452556,2.1123678689417256,0.21795958740095295,0.5788146482532579,0.7836547587947791,0.057900261189050416,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-1.2098636043049855e-05,-0.09703772597822943,2.173805682811539e-05,6.127052733938361e-05,3.5803206647291e-05,-0.0970431446277663,7.49309234188263e-05,-8.8753406581176e-07,3.288511483271317e-05,-0.09246913882483017,-7.236118468632523e-07,-5.928070261632481e-09,2.1123678689417256,0.2227419454328654
400,-0.10567107108971058,0.05285379107483206,2.113020416621725,0.21861502017476592,0.5813787575722478,0.7817803085937932,0.05500692949737859,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,-1.372341987789298e-05,-0.08983758618827939,2.375531873647347e-05,6.0001190631037374e-05,3.804125858959572e-05,-0.08984379777300071,7.925906741023197e-05,-9.238437801900104e-07,3.648326934925225e-05,-0.08520689702432761,-7.454208912985584e-07,-6.037588136204184e-09,2.113020416621725,0.27119023460989755
