index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
208,-0.1556485647264359,-0.020563456809604554,1.9769354440130211,0.18850157460572467,0.48278718458637937,0.8475182358441359,0.11444007463281143,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.1660133716505087,-0.2827010049036318,0.16715340049227956,0.16737403315376206,0.16369164354788393,-0.2824096607649599,0.16729852373751022,0.16680073536938897,0.16727808692989438,-0.2798090983146456,0.16709089457748408,0.16706643847163136,1.9769354440130211,,,0.05505647244178569
216,-0.16133842383688402,-0.03215972353353503,1.9749057153349294,0.18178839027161794,0.47461895559562817,0.8540159522224374,0.11111517223751442,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.17039077933524205,-0.27635798191135563,0.17357724358631135,0.17387800008386045,0.16418036885764425,-0.2756635744314569,0.17384224076143304,0.17274551415972303,0.17371511732348424,-0.2735495887737172,0.17353909822999494,0.17346870010417742,1.9749057153349294,,,0.07090104873259029
224,-0.16443765346720013,-0.04291267722693321,1.9733126427392587,0.17449709982311729,0.4710421855686148,0.8581995126528034,0.10565802407083989,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.17441873143689549,-0.26994459534068477,0.18003318323381076,0.18024472555626186,0.16405082767792667,-0.2692026674218336,0.18033379835533384,0.17904182969329535,0.1798732562999687,-0.26692337980813235,0.17995586928195428,0.17986180737138308,1.9733126427392587,,,0.057237609123194755
232,-0.1675749978378207,-0.0519354565333358,1.9715054105518564,0.16642577087852237,0.4677322753499566,0.8623778774189632,0.09916339002780088,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.17857822093472966,-0.2636397600651649,0.18658233428891394,0.18659424614207198,0.16409295782395578,-0.26279489995465166,0.18682512626252762,0.18535117932283923,0.18612088345762012,-0.2603182182017242,0.18635597169898216,0.18624940038921178,1.9715054105518564,,,0.1731319009028447
240,-0.17172445559899002,-0.06023469334159932,1.9695297177868378,0.15762481331572764,0.4645580130036433,0.8665159396265494,0.09214335111339791,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.18294749678449487,-0.2573479627428243,0.1931867027913731,0.19286643500754774,0.16422162360114584,-0.25631839337122764,0.19328703334794134,0.1916464117687833,0.19233037290087893,-0.25363064662165125,0.19274505259413335,0.19263150609351837,1.9695297177868378,,,0.07712583181709864
248,-0.1765286723028169,-0.06835052781017725,1.9672007696423985,0.14771368668831897,0.4616850343207784,0.8705039686199738,0.08514949480791116,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.18731126405983314,-0.2510223526835165,0.19975520193084811,0.1991547255123641,0.16425534242666054,-0.24980576714194166,0.1997602609413666,0.19792177135999076,0.19850009676531483,-0.24689179790674545,0.19913572920325345,0.1990122464512973,1.9672007696423985,,,0.17636405747096062
256,-0.18203238902480062,-0.07639139727071302,1.9644286546856697,0.13663235037644497,0.45899107899079766,0.8743757954990643,0.07826722483166264,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.1916540605900484,-0.24466543429241303,0.20623358618727763,0.2055516391968745,0.1642773616475326,-0.2433090950255523,0.2062535745992207,0.20418989991767936,0.20470674418942886,-0.24024103504455396,0.20554299088678343,0.2053979828263372,1.9644286546856697,,,0.14404011109174353
264,-0.18601903832971944,-0.07649179935650441,1.9641631955998684,0.13029187917263538,0.4568079141509486,0.876846139681656,0.07410400202486117,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.19601361251166657,-0.23804914642254268,0.2121210832139726,0.21279066545658032,0.16410006478749117,-0.23703881935163204,0.21293071639230346,0.21043919852476312,0.21107193013617176,-0.23389439278156343,0.2119735288051282,0.21180016252313902,1.9641631955998684,,,0.188912779077262
272,-0.1874019363958724,-0.07200893936801761,1.9629183318845944,0.12679073199261476,0.4576291322530126,0.8771231125658044,0.07179646925167435,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.2001060552751005,-0.2315877264625109,0.21839823176144463,0.21945291985959198,0.1639976210191811,-0.23058471743729947,0.21948353364971773,0.21669393232987194,0.21728345222707576,-0.22734104371535763,0.21839713871403874,0.218192524262416,1.9629183318845944,,,0.17990697750232942
280,-0.18880429027631737,-0.06808013497780939,1.961537811049691,0.1226276913804453,0.4593267659355492,0.8768046874207657,0.0720757346051014,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.2041976904728769,-0.22524981978066452,0.22489149186528892,0.22584415704350422,0.16398946119175536,-0.22408021573366746,0.2260101153041965,0.22292929252622953,0.22339169121091546,-0.22058253845605008,0.22482226012102222,0.2245778388279591,1.961537811049691,,,0.13429312547688776
