index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obj_joint_9_pos,obj_joint_10_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,escape_energy_cost
322,-0.5722120333261543,-0.056766116926815796,0.8581928831573528,0.06754292486953731,0.6801841352566234,-0.22704980216490747,0.6937116712166115,0.490078920965842,0.019688846996753148,0.2613251639141228,0.17429657212598482,0.024940677410018538,0.04811204784422142,-0.10068859204738831,-0.1025617293749213,-0.07900220477828841,-0.17131897223347292,0.013861388839153959,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.2023673970868058,4.502050373775849
329,-0.5780500020440903,-0.07580969601746232,0.8615492370279195,0.056989625846421144,0.677972960376412,-0.24152235741149816,0.691933377150374,0.49258675571183685,0.022913150811979144,0.2695676426288491,0.18496703816460613,0.029580293727302167,0.0503453891904672,-0.09010135538277088,-0.1025776196105752,-0.06906345831770416,-0.16830225573750437,0.013623604002218282,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.2272487028819292,4.177359627528218
336,-0.5817618115167226,-0.09528109818293466,0.8641860141098832,0.04239891241969668,0.6824841695958409,-0.25053678515401945,0.6853094262896076,0.49512457185977016,0.026442933886240937,0.27823664769907086,0.1960900666797459,0.03413924068558044,0.05272345879044693,-0.08033079420909982,-0.10259916229067452,-0.06002155947651285,-0.16516876726349125,0.01312730215342026,-0.5,0.5,0,0.0,0.0,0.0,1.0,1.6057266740646616,3.8567317237947236
343,-0.5797799097472971,-0.09914830723497406,0.8615782112792234,0.0265278174202473,0.6898024201781433,-0.25734347396082935,0.6761976282338369,0.4976623705705577,0.033461521061461365,0.2908835660811703,0.21485035502553373,0.038006139915937105,0.057022779419929594,-0.07941638461592675,-0.10260103672684243,-0.06031272913926874,-0.16760509104029447,0.013422950649161236,-0.5,0.5,0,0.0,0.0,0.0,1.0,2.0440745836693015,3.352136337517769
462,-0.5801961569033304,-0.13330661129401192,0.9610204574596819,-0.09313697156511674,0.7007325918930749,-0.34200959865532543,0.6191355050504819,0.49997327493096216,0.018575933825817837,0.3292919843012713,0.3082775812254821,0.10517843167298313,0.08434989777284559,0.08418489160068915,-0.10307217602776356,0.08983585840457604,-0.1006433050977321,0.002075635204462732,-0.5,0.5,0,0.0,0.0,0.0,1.0,3.104391391233856,2.1688016820879574
469,-0.5823635840624831,-0.13953771411987365,0.9686209613916692,-0.09952762310180911,0.7001228836092711,-0.3472216605733587,0.6159215197693798,0.4999833339199006,0.01883482634305174,0.3293973758923272,0.3100665968080934,0.10881138001988239,0.08559508323459045,0.0932853858122488,-0.10307501619609559,0.09819308336882414,-0.0950075756282105,0.0010940959752925399,-0.5,0.5,0,0.0,0.0,0.0,1.0,3.132524224692308,2.282488312932196
490,-0.591032042658059,-0.16122803500531688,0.9936827507235483,-0.12015708839938365,0.6969374279340428,-0.36529406155413063,0.6053104527805138,0.49996132106241203,0.019671095030909646,0.3298232823286451,0.3156260166674194,0.12038987838663193,0.08983151042177219,0.12196022333653864,-0.1029736358657019,0.12449644657955598,-0.07664153726795572,-0.0011037928822971031,-0.5,0.5,0,0.0,0.0,0.0,1.0,3.2065597638288166,2.278431989843477
497,-0.5946745065292142,-0.1693885669420675,1.0029397239081448,-0.12764752074671162,0.6953982424207454,-0.3721945882647367,0.6013306772083054,0.4999937572928,0.019970508323191166,0.3300094601852902,0.3175754386200018,0.12448284813002017,0.09139816459073573,0.13207083079651716,-0.10290410008987666,0.13379344785346528,-0.07005847265160053,-0.0014100312905940473,-0.5,0.5,0,0.0,0.0,0.0,1.0,3.230164224932898,2.0589875854637154
504,-0.5985674119583679,-0.178004222428183,1.0125624463912652,-0.13552729906786704,0.6937389208702736,-0.3793428100837709,0.5970407802779182,0.49994963508086676,0.02030909723903112,0.33014905117430815,0.31959497744724996,0.1287196615113058,0.09308113865007109,0.1424637170187797,-0.10282294689558162,0.1433700167267676,-0.06332898118637233,-0.0014435912269597413,-0.5,0.5,0,0.0,0.0,0.0,1.0,3.2566649639985563,1.8233214982785082
511,-0.6025757907544151,-0.18707960027534823,1.0224328032635446,-0.14389380177284167,0.692060640678825,-0.3865909530447789,0.5923631305698406,0.49987069911040444,0.020674470147917328,0.3302825927844611,0.32166982913935044,0.13307471527323944,0.09485066875451516,0.15312979289658035,-0.10273162210421645,0.15323092861230816,-0.056402821807450945,-0.0011898984650334842,-0.5,0.5,0,0.0,0.0,0.0,1.0,3.287583840863817,2.362390702974199
