index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,box_pos_x,box_pos_y,box_pos_z
3240,-0.0005456340562320167,-0.38346042058272845,1.3343133746322986,-0.026407225673611794,-6.914228361523087e-05,-0.0036356384534107404,0.999644654757181,0.5,-0.025900000000022107,2.675899999999316,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3280,-6.213690805092097e-05,-0.3805950079543517,1.3342553969258677,-0.026709818006376573,-0.00015759852988455207,-0.0012065302187619384,0.9996424886276097,0.5,-0.02190000000002213,2.6718999999993076,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3320,-0.0002792640991131948,-0.3807902008768796,1.3342707237960123,-0.026643513210501155,-0.00017878038694007082,0.0003966217560949489,0.9996449039196658,0.5,-0.017900000000022155,2.667899999999299,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3360,-0.00022523414829746957,-0.3807407566362824,1.3342649740879475,-0.026775918741567605,-6.976356080151971e-05,0.0005686192703864996,0.9996412966563135,0.5,-0.01390000000002218,2.6638999999992907,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3400,-0.00020596076384734672,-0.3807189152309958,1.3342629642013044,-0.02683117237490054,-2.0430453191597564e-05,0.0005520579528405776,0.999639826639376,0.5,-0.009900000000022204,2.6598999999992823,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3440,-0.000215791851445703,-0.3807292409644964,1.3342626794793906,-0.026820486050343716,-3.3771948167044315e-05,0.0005349654876672862,0.9996401223437392,0.5,-0.00590000000002221,2.655899999999274,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3480,-0.00021970425756670853,-0.3807352721601554,1.3342627370135178,-0.026819094934152788,-3.438128874073885e-05,0.0005179954550783942,0.9996401685834501,0.5,-0.0019000000000222088,2.6518999999992654,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3520,-0.0002235833715009593,-0.3807412215164682,1.3342628013597664,-0.026818100195297456,-3.4769620417423936e-05,0.0005007039698510393,0.999640204067705,0.5,0.0020999999999777924,2.647899999999257,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3560,-0.00022748518509788026,-0.38074722538555406,1.3342628642957288,-0.026816987735349327,-3.520629485566176e-05,0.0004834117378080223,0.999640242408443,0.5,0.006099999999977795,2.6438999999992485,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3600,-0.0002313996437334841,-0.3807532516096253,1.3342629263025416,-0.026815826203719008,-3.5670297185398024e-05,0.00046612035384939964,0.999640281763624,0.5,0.010099999999977786,2.63989999999924,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3640,-0.00023531490564129774,-0.3807592788216724,1.3342629882300847,-0.026814661415355944,-3.613620104964236e-05,0.00044883018432588745,0.9996403209048845,0.5,0.014099999999977762,2.6358999999992316,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3680,-0.00023922973363952083,-0.38076530484161114,1.3342630501693984,-0.02681349807128777,-3.660133095528157e-05,0.00043154122565080964,0.9996403597062766,0.5,0.018099999999977738,2.631899999999223,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
3720,-0.00024314436650321766,-0.38077133009260655,1.3342631121034838,-0.02681233526934032,-3.706619639841281e-05,0.0004142534633665955,0.9996403981920546,0.5,0.022099999999977714,2.6278999999992148,-0.29552020666133955,0.0,0.0,0.955336489125606,0,-2.78,1
